ISIN,SecurityName,NumberOfShare,MarketValue,Country,LocalCurrencyCode,Weighting
US5949181045,Microsoft Corp,20566,8208302,United States,USD,18.33599
US79466L3024,Salesforce Inc,4408,1191791,United States,USD,2.66226
US30231G1022,Exxon Mobil Corp,9074,1087791,United States,USD,2.42995
US0079031078,Advanced Micro Devices Inc,7318,1073112,United States,USD,2.39715
GB00BP6MXD84,Shell PLC,30020,1064146,United Kingdom,GBP,2.37713
US00724F1012,Adobe Inc,2065,960266,United States,USD,2.14508
US88160R1014,Tesla Inc,6470,951414,United States,USD,2.1253
US17275R1023,Cisco Systems Inc,18377,887977,United States,USD,1.98359
CH0012005267,Novartis AG Registered Shares,9285,873312,Switzerland,CHF,1.95083
DE0007164600,SAP SE,4730,836778,Germany,EUR,1.86922
US4781601046,Johnson & Johnson,5454,806701,United States,USD,1.80204
US4612021034,Intuit Inc,1269,767961,United States,USD,1.7155
US2358511028,Danaher Corp,3182,749393,United States,USD,1.67402
FR0000120271,TotalEnergies SE,10402,746736,France,EUR,1.66808
US4581401001,Intel Corp,18971,648808,United States,USD,1.44933
FR0000121972,Schneider Electric SE,2471,549459,France,EUR,1.2274
IE000S9YS762,Linde PLC,1106,493608,United States,USD,1.10264
FR0000120321,L'Oreal SA,823,390729,France,EUR,0.87282
US6974351057,Palo Alto Networks Inc,1403,389627,United States,USD,0.87036
JP3788600009,Hitachi Ltd,4200,362135,Japan,JPY,0.80895
CH0012221716,ABB Ltd,7277,357228,Switzerland,CHF,0.79799
US8716071076,Synopsys Inc,691,352901,United States,USD,0.78832
IE00B8KQN827,Eaton Corp PLC,1130,342413,United States,USD,0.76489
US7170811035,Pfizer Inc,12788,332488,United States,USD,0.74272
AN8068571086,Schlumberger Ltd,6438,320934,United States,USD,0.71691
US0028241000,Abbott Laboratories,2948,316261,United States,USD,0.70647
US7185461040,Phillips 66,2018,312205,United States,USD,0.69741
IE00BK9ZQ967,Trane Technologies PLC Class A,1035,298359,United States,USD,0.66648
US5951121038,Micron Technology Inc,2487,265537,United States,USD,0.59317
IE0001827041,CRH PLC,3222,250460,United States,GBP,0.55949
GB0007980591,BP PLC,38655,247470,United Kingdom,GBP,0.55281
US5738741041,Marvell Technology Inc,3909,242866,United States,USD,0.54252
FR0000120578,Sanofi SA,2592,240309,France,EUR,0.53681
IE00BTN1Y115,Medtronic PLC,3014,239553,United States,USD,0.53512
FR0000120073,Air Liquide SA,1193,239006,France,EUR,0.5339
US28176E1082,Edwards Lifesciences Corp,2754,236679,United States,USD,0.5287
US6703461052,Nucor Corp,1127,215663,United States,USD,0.48176
US0326541051,Analog Devices Inc,1129,207013,United States,USD,0.46243
CH0012214059,Holcim Ltd,2378,202771,Switzerland,CHF,0.45296
SE0017486889,Atlas Copco AB Class A,12246,201493,Sweden,SEK,0.4501
DE0006231004,Infineon Technologies AG,5916,190223,Germany,EUR,0.42493
